"Windsor-Sarnia, Ontario","6,085","5,880","5,665","5,905","5,335"
"Stratford-Bruce Peninsula, Ontario","3,415","3,690","3,970","3,375","3,420"
"Northeast, Ontario","8,060","8,795","8,165","8,815","7,815"
"Northwest, Ontario","5,175","4,935","5,670","5,290","5,695"
"Manitoba","21,005","21,035","19,700","18,720","18,135"
"Southeast, Manitoba","1,455","1,580","1,635","1,650","1,790"
"South Central and North Central, Manitoba 5","1,550","1,485","1,490","1,300","1,420"
"Southwest, Manitoba","2,005","2,060","1,695","1,715","2,015"
"Winnipeg, Manitoba","12,750","12,360","11,640","11,250","10,260"
"Interlake, Manitoba","1,045","1,085","1,110","1,155","1,110"
"Parklands and North, Manitoba 5","2,200","2,470","2,130","1,650","1,535"
"Saskatchewan","18,215","18,260","17,490","16,655","15,775"
"Regina-Moose Mountain, Saskatchewan","5,680","5,790","5,760","5,035","4,875"
"Swift Current-Moose Jaw, Saskatchewan","1,240","1,400","1,160","1,115","1,015"
"Saskatoon-Biggar, Saskatchewan","6,465","6,195","5,805","5,975","5,320"
"Yorkton-Melville, Saskatchewan","1,325","1,370","1,305","1,290","1,250"
"Prince Albert and Northern, Saskatchewan 5","3,505","3,500","3,465","3,240","3,310"
"Alberta","69,930","66,495","62,825","63,255","59,460"
"Lethbridge-Medicine Hat, Alberta","3,695","4,050","3,930","3,720","3,890"
"Camrose-Drumheller, Alberta","2,900","2,560","2,575","2,430","2,380"
"Calgary, Alberta","25,800","24,545","23,450","24,805","22,070"
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta 5","7,275","6,695","6,455","6,155","6,100"
"Red Deer, Alberta","3,250","2,950","2,375","2,455","2,350"
"Edmonton, Alberta","24,230","22,705","21,265","21,185","20,385"
"Wood Buffalo-Cold Lake, Alberta","2,785","2,990","2,770","2,505","2,290"
"British Columbia","95,905","91,260","84,885","82,410","81,000"
"Vancouver Island and Coast, British Columbia","12,825","12,750","11,735","11,890","11,440"
"Lower Mainland-Southwest, British Columbia","60,505","55,940","51,980","49,975","49,045"
"Thompson-Okanagan, British Columbia","11,615","11,990","11,055","10,580","11,210"
"Kootenay, British Columbia","3,260","3,410","3,130","3,095","2,625"
"Cariboo, British Columbia","3,465","2,810","2,950","2,800","2,715"
"North Coast and Nechako, British Columbia 5","2,315","2,545","2,350","2,360","2,510"
"Northeast, British Columbia","1,920","1,820","1,680","1,705","1,460"
"Yukon","775","835","775","725","705"
"Yukon","775","835","775","725","705"
"Northwest Territories","1,145","1,055","820","780","960"
"Northwest Territories","1,145","1,055","820","780","960"
"Nunavut","570","530","550","560","520"
"Nunavut","570","530","550","560","520"

Symbol legend:
E, use with caution
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable


"Table Corrections:"
Date,Note
"2022-06-24","On June 24, 2022, data from the first quarter of 2015 to the fourth quarter of 2020 was corrected for all series."



Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"An economic region (ER) is a grouping of complete census divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. Canada has 76 ERs that are classified in accordance with the <a href="https://www.statcan.gc.ca/en/subjects/standard/sgc/2021/index" rel="external noopener noreferrer" target="_blank">Standard Geographical Classification (SGC) 2021 (opens new window)</a>, which is based on 2021 Census boundaries. The Job Vacancy and Wage Survey (JVWS) publishes estimates for 69 ERs, seven of which are combined. These seven combined ERs are the same as those published by the Labour Force Survey. Maps illustrating the ERs, as well as a table showing the census metropolitan areas (CMAs) and census agglomerations (CAs) within each ER, are available by selecting the “JVWS Geographical Maps” link at the bottom of the JVWS survey page (<a href="http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5217" rel="external noopener noreferrer" target="_blank">5217 (opens new window)</a>."
5,"While 76 economic regions are defined for the purposes of sampling, some are too small to enable production of independent estimates from the survey. These economic regions were combined to improve data quality of the Job Vacancy and Wage Survey estimates."



"How to cite: Statistics Canada. Table 14-10-0398-01  Job vacancies, payroll employees, and job vacancy rate, by economic regions, quarterly, adjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410039801
