"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates, July 1, by economic region, 2021 boundaries","17100150",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015001",1;2;3;4;6;7,"CURRENT - a cube available to the public and that is current","Annual","2001-01-01","2025-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Gender",,""
"3","Age group",5,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"3","67 years","","83","80","",,
"3","68 years","","84","80","",,
"3","69 years","","85","80","",,
"3","70 years","","87","86","",,
"3","71 years","","88","86","",,
"3","72 years","","89","86","",,
"3","73 years","","90","86","",,
"3","74 years","","91","86","",,
"3","75 years","","93","92","",,
"3","76 years","","94","92","",,
"3","77 years","","95","92","",,
"3","78 years","","96","92","",,
"3","79 years","","97","92","",,
"3","80 years","","99","98","",,
"3","81 years","","100","98","",,
"3","82 years","","101","98","",,
"3","83 years","","102","98","",,
"3","84 years","","103","98","",,
"3","85 years","","105","104","",,
"3","86 years","","106","104","",,
"3","87 years","","107","104","",,
"3","88 years","","108","104","",,
"3","89 years","","109","104","",,
"3","All ages","","1","","",,
"3","0 to 14 years","","111","","",,
"3","15 to 64 years","","112","","",,
"3","65 years and older","","113","","",,
"3","Median age","","114","","",,
"3","Average age","","115","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"3608","Annual Demographic Estimates : Subprovincial Areas"

"Subject Code","Subject Name"
"17","Population and demography"

"Note ID",Note
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"An economic region (ER) is a grouping of complete census divisions (CDs), with one exception in Ontario, created as a standard geographic unit for analysis of regional economic activity. Within the province of Quebec, economic regions (régions administratives) are designated by law. In all other provinces and territories, economic regions (ERs) are created by agreement between Statistics Canada and the province/territory concerned. Prince Edward Island and the three territories each consist of one ER. In Ontario, there is one exception where the ER boundary does not respect census division boundaries: the census division of Halton is split between the ER of Hamilton–Niagara Peninsula and the ER of Toronto (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the year in consideration."
4,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 to 2024, and preliminary postcensal for 2025."
5,"Age on July 1."
6,"The population growth, which is used to calculate population estimates of economics regions (table 17100150), is comprised of the components of population growth (table 17100151)."
7,"This table replaces table 17100137."

"Correction ID","Correction Date","Correction Note"
