"Muskoka-Kawarthas, Ontario","5,055B","4,700B","4,835B","5,080B","5,000B"
"Toronto, Ontario","90,740A","90,730A","87,780A","86,320A","82,685A"
"Kitchener-Waterloo-Barrie, Ontario","16,140A","16,470B","17,145A","16,050B","16,145B"
"Hamilton-Niagara Peninsula, Ontario","16,505A","16,385B","16,550B","16,785B","16,915B"
"London, Ontario","9,415B","9,615B","10,835B","9,765B","8,675B"
"Windsor-Sarnia, Ontario","6,085B","5,880B","5,665B","5,905B","5,335B"
"Stratford-Bruce Peninsula, Ontario","3,415B","3,690C","3,970C","3,375B","3,420B"
"Northeast, Ontario","8,060B","8,795B","8,165B","8,815B","7,815B"
"Northwest, Ontario","5,175B","4,935B","5,670B","5,290B","5,695B"
"Manitoba","21,005A","21,035A","19,700A","18,720A","18,135A"
"Southeast, Manitoba","1,455C","1,580C","1,635C","1,650C","1,790B"
"South Central and North Central, Manitoba 5","1,550B","1,485C","1,490C","1,300B","1,420B"
"Southwest, Manitoba","2,005B","2,060B","1,695C","1,715B","2,015B"
"Winnipeg, Manitoba","12,750B","12,360B","11,640B","11,250B","10,260B"
"Interlake, Manitoba","1,045D","1,085C","1,110C","1,155C","1,110C"
"Parklands and North, Manitoba 5","2,200C","2,470C","2,130B","1,650B","1,535B"
"Saskatchewan","18,215A","18,260A","17,490A","16,655A","15,775A"
"Regina-Moose Mountain, Saskatchewan","5,680B","5,790B","5,760B","5,035B","4,875B"
"Swift Current-Moose Jaw, Saskatchewan","1,240C","1,400D","1,160B","1,115B","1,015C"
"Saskatoon-Biggar, Saskatchewan","6,465B","6,195B","5,805B","5,975B","5,320B"
"Yorkton-Melville, Saskatchewan","1,325C","1,370C","1,305C","1,290B","1,250B"
"Prince Albert and Northern, Saskatchewan 5","3,505B","3,500B","3,465B","3,240B","3,310B"
"Alberta","69,930A","66,495A","62,825A","63,255A","59,460A"
"Lethbridge-Medicine Hat, Alberta","3,695B","4,050C","3,930B","3,720B","3,890B"
"Camrose-Drumheller, Alberta","2,900B","2,560C","2,575C","2,430B","2,380B"
"Calgary, Alberta","25,800A","24,545A","23,450A","24,805B","22,070A"
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta 5","7,275B","6,695B","6,455B","6,155B","6,100B"
"Red Deer, Alberta","3,250C","2,950C","2,375B","2,455C","2,350B"
"Edmonton, Alberta","24,230B","22,705B","21,265B","21,185A","20,385B"
"Wood Buffalo-Cold Lake, Alberta","2,785B","2,990C","2,770C","2,505B","2,290B"
"British Columbia","95,905A","91,260A","84,885A","82,410A","81,000A"
"Vancouver Island and Coast, British Columbia","12,825B","12,750B","11,735B","11,890B","11,440B"
"Lower Mainland-Southwest, British Columbia","60,505A","55,940A","51,980A","49,975A","49,045A"
"Thompson-Okanagan, British Columbia","11,615B","11,990B","11,055B","10,580B","11,210B"
"Kootenay, British Columbia","3,260B","3,410B","3,130B","3,095B","2,625B"
"Cariboo, British Columbia","3,465B","2,810B","2,950B","2,800B","2,715B"
"North Coast and Nechako, British Columbia 5","2,315B","2,545B","2,350B","2,360B","2,510B"
"Northeast, British Columbia","1,920B","1,820B","1,680B","1,705C","1,460B"
"Yukon","775C","835D","775C","725C","705C"
"Yukon","775C","835D","775C","725C","705C"
"Northwest Territories","1,145C","1,055B","820B","780C","960C"
"Northwest Territories","1,145C","1,055B","820B","780C","960C"
"Nunavut","570D","530D","550C","560C","520C"
"Nunavut","570D","530D","550C","560C","520C"

Symbol legend:
E, use with caution
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable


"Table Corrections:"
Date,Note
"2022-06-24","On June 24, 2022, data from the first quarter of 2015 to the fourth quarter of 2020 was corrected for all series."



Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"An economic region (ER) is a grouping of complete census divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. Canada has 76 ERs that are classified in accordance with the <a href="https://www.statcan.gc.ca/en/subjects/standard/sgc/2021/index" rel="external noopener noreferrer" target="_blank">Standard Geographical Classification (SGC) 2021 (opens new window)</a>, which is based on 2021 Census boundaries. The Job Vacancy and Wage Survey (JVWS) publishes estimates for 69 ERs, seven of which are combined. These seven combined ERs are the same as those published by the Labour Force Survey. Maps illustrating the ERs, as well as a table showing the census metropolitan areas (CMAs) and census agglomerations (CAs) within each ER, are available by selecting the “JVWS Geographical Maps” link at the bottom of the JVWS survey page (<a href="http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5217" rel="external noopener noreferrer" target="_blank">5217 (opens new window)</a>."
5,"While 76 economic regions are defined for the purposes of sampling, some are too small to enable production of independent estimates from the survey. These economic regions were combined to improve data quality of the Job Vacancy and Wage Survey estimates."



"How to cite: Statistics Canada. Table 14-10-0398-01  Job vacancies, payroll employees, and job vacancy rate, by economic regions, quarterly, adjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410039801
